"id","adu_numero","adu_seccion","adu_denomina"
"440","0","0","Guaymas, Son."
"441","0","0","La Paz, B.C.S."
"442","2","2","San Jos? Del Cabo, B.C.S."
"443","3","3","Cabo San Lucas, B.C.S."
"444","4","4","Santa Rosalia, B.C.S."
"445","5","5","Loreto, B.C.S."
"446","7","7","Pichilingue, B.C.S."
"447","0","0","Manzanillo, Col."
"448","0","0","Matamoros, Tamps."
"449","1","1","Pte. Internal Lucio Blanco-Los"
"450","0","0","Mazatlan, Sin."
"451","3","3","Topolobampo, Sin."
"452","4","4","Aeropuerto Internal. De Culiacan"
"453","0","0","Mexicali, B.C."
"454","2","2","Los Algodones, B.C."
"455","3","3","San Felipe, B.C."
"456","0","0","M?®xico"
"457","1","1","Postal Del D.F."
"458","2","2","Pantaco, D. F."
"459","0","0","Naco, Son."
"460","0","0","Nogales, Son."
"461","1","1","Sasabe, Son."
"462","0","0","Nuevo Laredo, Tamps."
"463","0","0","Ojinaga, Chih."
"464","0","0","Puerto Palomas, Chih."
"465","0","0","Piedras Negras, Coah."
"466","1","1","Aeropuerto De Ramos Arizpe, Coahuila"
"467","0","0","Progreso, Yuc."
"468","2","2","Aeropuerto Internal. De M?rida"
"469","0","0","Cd. Reynosa, Tamps."
"470","2","2","Las Flores Cd. Nuevo Progreso,"
"471","3","3","Nuevo Amanecer, Cd. Reynosa, Tamps."
"472","0","0","Salina Cruz, Oax."
"473","0","0","San Luis R?¡o Colorado, Son."
"474","0","0","Cd. Miguel Alem?n, Tamps."
"475","2","2","Nva. Ciudad Guerrero, Tamps."
"476","0","0","Cd. Hidalgo, Chis."
"477","1","1","Tapachula, Chis."
"478","2","2","Talism?n, Chis."
"479","5","5","Puerto Madero, Chis."
"480","6","6","Cd. Cuauhtemoc, Chis."
"481","0","0","Tampico, Tamps."
"482","0","0","Tecate, B.C."
"483","0","0","Tijuana, B.C."
"484","1","1","Mesa De Otay, B.C."
"485","2","2","Aeropuerto Internal. Tijuana,"
"486","0","0","Tuxpan, Ver"
"487","0","0","Veracruz, Ver."
"488","2","2","Aeropuerto Internal. Veracruz,"
"489","0","0","Cd. Acu?a, Coah."
"490","0","0","Torre?n, Coah."
"491","0","0","Aeropuerto Internal. Cd. De M?xico"
"492","1","1","Sat?lite Lado Sur Del Aeropuerto"
"493","2","2","Centro Postal, Mecanizado, Del"
"494","0","0","Guadalajara, Jal."
"495","1","1","Puerto Vallarta, Jal."
"496","4","4","Terminal Intermodal Ferroviaria"
"497","0","0","Sonoyta, Son."
"498","1","1","San Emeterio, Son."
"499","0","0","L?zaro C?rdenas, Mich."
"500","1","1","Zihuatanejo, Gro."
"501","0","0","Monterrey, N.L."
