Aduana,Patente,Pedimento,Fecha de pago
240,1618,6001499,29/03/2016
240,1618,6001513,08/04/2016
240,1618,6001515,12/04/2016
240,1618,6001524,19/04/2016
240,1618,6001527,25/04/2016
240,1618,7004343,25/04/2016
240,1618,6001535,29/04/2016
240,1618,6001538,03/05/2016
240,1618,6001539,05/05/2016
240,1618,7004396,05/05/2016
240,1618,6001541,11/05/2016
240,1618,6001543,16/05/2016
240,1618,6001544,16/05/2016
240,1618,7004330,16/05/2016
240,1618,6001547,19/05/2016
240,1618,7004331,19/05/2016
240,1618,6001549,21/05/2016
240,1618,6001550,21/05/2016
240,1618,6001559,01/06/2016
240,1618,6001561,01/06/2016
240,1618,6001562,01/06/2016
240,1618,7004332,01/06/2016
240,1618,6001565,08/06/2016
240,1618,6001567,08/06/2016
240,1618,6001566,09/06/2016
240,1618,7004333,09/06/2016
240,1618,6001573,16/06/2016
240,1618,6001574,16/06/2016
240,1618,6001576,20/06/2016
240,3126,6001014,29/06/2016
240,3126,6001015,29/06/2016
240,3126,6001016,30/06/2016
240,3126,6001019,30/06/2016
240,3126,6001023,01/07/2016
240,3126,6001032,01/07/2016
240,3126,6001081,08/07/2016
240,3126,6001092,11/07/2016
240,3126,6001155,21/07/2016
240,3126,6001152,22/07/2016
240,3126,6001214,26/07/2016
470,3136,6007428,28/07/2016
240,3126,6001275,01/08/2016
470,3136,6007695,03/08/2016
470,3136,6007781,03/08/2016
640,3126,6002506,03/08/2016
240,3126,6001306,04/08/2016
240,3126,6001340,09/08/2016
240,3126,6001352,12/08/2016
240,3126,6001368,12/08/2016
240,3126,6001402,12/08/2016
470,3136,6008166,16/08/2016
240,3126,6001408,17/08/2016
240,3126,6001410,18/08/2016
240,3126,6001413,18/08/2016
240,3126,6001458,25/08/2016
240,3126,6001459,25/08/2016
240,3126,6001464,25/08/2016
240,3126,6001469,26/08/2016
240,3126,6001504,01/09/2016
240,3126,6001507,01/09/2016
240,3126,6001522,02/09/2016
640,3126,6002836,06/09/2016
240,3126,6001534,07/09/2016
240,3126,6001607,22/09/2016
240,3126,6001620,22/09/2016
640,3126,6002968,26/09/2016
240,3126,6001701,04/10/2016
240,3126,6001702,04/10/2016
640,3126,6003966,05/10/2016
240,3126,6001616,11/10/2016
240,3126,6001889,13/10/2016
240,3126,6002195,14/10/2016
240,3126,6002196,14/10/2016
240,3126,6003534,14/11/2016
470,3136,6011325,15/11/2016
240,3126,6003615,23/11/2016
240,3126,6003642,30/11/2016
470,3136,6011990,30/11/2016
240,3126,6003666,01/12/2016
240,3126,6003675,02/12/2016
640,3126,6005653,13/12/2016
240,3126,6003730,15/12/2016
240,3126,6003731,15/12/2016
240,3126,6003732,15/12/2016
240,3126,6003749,22/12/2016
240,3126,6003778,26/12/2016
470,3187,6001728,29/12/2016
640,3126,6005842,29/12/2016
240,3126,7000024,06/01/2017
240,3126,7000084,18/01/2017
240,3126,7000088,18/01/2017
640,3126,7000349,20/01/2017
240,1618,7000656,27/01/2017
240,1618,7000658,27/01/2017
470,3187,7000116,27/01/2017
470,3187,7000118,27/01/2017
470,3187,7000375,27/01/2017
240,1618,7000659,30/01/2017
240,1618,7000660,30/01/2017
470,3187,7000121,30/01/2017
470,3187,7000137,01/02/2017
470,3187,7000488,01/02/2017
470,3187,7000126,02/02/2017
470,3187,7000617,02/02/2017
240,1618,7000674,07/02/2017
470,3187,7000155,07/02/2017
470,3187,7000166,08/02/2017
240,1618,7000683,10/02/2017
240,1618,7000681,14/02/2017
240,1618,7000664,24/02/2017
470,3458,7000086,27/02/2017
240,1618,7001758,02/03/2017
640,3126,7001018,03/03/2017
240,3126,7000318,09/03/2017
240,3126,7000327,10/03/2017
470,3458,7000129,16/03/2017
240,3126,7000361,17/03/2017
240,3126,7000362,17/03/2017
240,3126,7000364,17/03/2017
640,3126,7001278,23/03/2017
240,3126,7000387,24/03/2017
470,3458,7000154,28/03/2017
